"Number","GPO","Title","Type","Expected","Actual","Status","Details"
"2.2.34","Enterprise - Set Default Settings","Ensure 'Profile single process' is set to 'Administrators' (Automated)","UserRight","Administrators","Administrators, Window Manager\Window Manager Group","PASS",""
"2.2.35","Enterprise - Set Default Settings","Ensure 'Profile system performance' is set to 'Administrators, NT SERVICE\WdiServiceHost' (Automated)","UserRight","Administrators, NT SERVICE\WdiServiceHost","Administrators, NT SERVICE\WdiServiceHost","PASS",""
"2.2.39","Enterprise - Set Default Settings","Ensure 'Take ownership of files or other objects' is set to 'Administrators' (Automated)","UserRight","Administrators","Administrators, NT SERVICE\WdiServiceHost","PASS",""
"2.2.6","Enterprise - RDP Hardening","Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users' (Automated)","UserRight","Administrators, Remote Desktop Users","Administrators, Remote Desktop Users","PASS",""
"2.3.1.2","Enterprise - Set Default Settings","Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.10.1","Enterprise - Set Default Settings","Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled' (Automated)","Other","Disabled","","MANUAL","Verify manually in Local Security Policy / Group Policy"
"2.3.10.10","Enterprise - Set Default Settings","Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow' (Automated)","Registry","O:BAG:BAD:(A;;RC;;;BA)","O:BAG:BAD:(A;;RC;;;BA)","PASS",""
"2.3.10.12","Enterprise - Set Default Settings","Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves' (Automated)","Registry","0","0","PASS",""
"2.3.10.2","Enterprise - Set Default Settings","Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.10.5","Enterprise - Set Default Settings","Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"2.3.10.7","Enterprise - Set Default Settings","Ensure 'Network access: Remotely accessible registry paths' is configured (Automated)","Registry","System\CurrentControlSet\Control\ProductOptions,","NOT FOUND","MISSING","Key/value not present"
"2.3.10.8","Enterprise - Set Default Settings","Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured (Automated)","Registry","System\CurrentControlSet\Control\Print\Printers,","NOT FOUND","MISSING","Key/value not present"
"2.3.10.9","Enterprise - Set Default Settings","Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.11.2","Enterprise - Set Default Settings","Ensure 'Network security: Allow LocalSystem NULL session fallback' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"2.3.11.3","Enterprise - Set Default Settings","Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"2.3.11.6","Enterprise - Set Default Settings","Ensure 'Network security: Force logoff when logon hours expire' is set to 'Enabled' (Manual)","Other","Enabled. Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Network security","","MANUAL","Verify manually in Local Security Policy / Group Policy"
"2.3.15.1","Enterprise - Set Default Settings","Ensure 'System objects: Require case insensitivity for non-Windows subsystems' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.15.2","Enterprise - Set Default Settings","Ensure 'System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.17.5","Enterprise - Set Default Settings","Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.17.6","Enterprise - Set Default Settings","Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.17.7","Enterprise - Set Default Settings","Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.17.8","Enterprise - Set Default Settings","Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.2.1","Enterprise - Set Default Settings","Ensure 'Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.2.2","Enterprise - Set Default Settings","Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled' (Automated)","Registry","0","0","PASS",""
"2.3.6.1","Enterprise - Set Default Settings","Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.6.2","Enterprise - Set Default Settings","Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.6.3","Enterprise - Set Default Settings","Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.6.4","Enterprise - Set Default Settings","Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"2.3.6.5","Enterprise - Set Default Settings","Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0' (Automated)","Registry","30","30","PASS",""
"2.3.6.6","Enterprise - Set Default Settings","Ensure 'Domain member: Require strong (Windows 2000 or later) session key' is set to 'Enabled' (Automated)","Registry","1","1","PASS",""
"2.3.8.1","Enterprise - Security defaults","Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.8.2","Enterprise - Security defaults","Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.8.3","Enterprise - Security defaults","Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"2.3.9.1","Enterprise - Security defaults","Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)' (Automated)","Registry","15","15","PASS",""
"2.3.9.2","Enterprise - Security defaults","Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.9.3","Enterprise - Security defaults","Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"2.3.9.4","Enterprise - Security defaults","Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"5.20","Enterprise-Services -workstation","Ensure 'Remote Procedure Call (RPC) Locator (RpcLocator)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.22","Enterprise-Services -workstation","Ensure 'Routing and Remote Access (RemoteAccess)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.27","Enterprise-Services -workstation","Ensure 'SSDP Discovery (SSDPSRV)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.28","Enterprise-Services -workstation","Ensure 'UPnP Device Host (upnphost)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.32","Enterprise-Services -workstation","Ensure 'Windows Media Player Network Sharing Service (WMPNetworkSvc)' is set to 'Disabled' or 'Not Installed' (Automated)","Registry","4","4","PASS",""
"5.33","Enterprise-Services -workstation","Ensure 'Windows Mobile Hotspot Service (icssvc)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.39","Enterprise-Services -workstation","Ensure 'Xbox Accessory Management Service (XboxGipSvc)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.40","Enterprise-Services -workstation","Ensure 'Xbox Live Auth Manager (XblAuthManager)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.41","Enterprise-Services -workstation","Ensure 'Xbox Live Game Save (XblGameSave)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"5.42","Enterprise-Services -workstation","Ensure 'Xbox Live Networking Service (XboxNetApiSvc)' is set to 'Disabled' (Automated)","Registry","4","4","PASS",""
"9.1.3","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Domain: Settings: Display a notification' is set to 'No' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.1.4","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Domain: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\domainfw.log' (Automated)","Registry","%SystemRoot%\System32\logfiles\firewall\domainfw","NOT FOUND","MISSING","Key/value not present"
"9.1.5","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Domain: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)","Registry","16384","NOT FOUND","MISSING","Key/value not present"
"9.1.6","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Domain: Logging: Log dropped packets' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.1.7","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Domain: Logging: Log successful connections' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.2.3","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Private: Settings: Display a notification' is set to 'No' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.2.4","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Private: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\privatefw.log' (Automated)","Registry","%SystemRoot%\System32\logfiles\firewall\privatefw","NOT FOUND","MISSING","Key/value not present"
"9.2.5","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Private: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)","Registry","16384","NOT FOUND","MISSING","Key/value not present"
"9.2.6","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Private: Logging: Log dropped packets' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.2.7","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Private: Logging: Log successful connections' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.3.3","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Settings: Display a notification' is set to 'No' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.3.4","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Settings: Apply local firewall rules' is set to 'No' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"9.3.5","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Settings: Apply local connection security rules' is set to 'No' (Automated)","Registry","0","NOT FOUND","MISSING","Key/value not present"
"9.3.6","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Logging: Name' is set to '%SystemRoot%\System32\logfiles\firewall\publicfw.log' (Automated)","Registry","%SystemRoot%\System32\logfiles\firewall\publicfw","NOT FOUND","MISSING","Key/value not present"
"9.3.7","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Logging: Size limit (KB)' is set to '16,384 KB or greater' (Automated)","Registry","16384","NOT FOUND","MISSING","Key/value not present"
"9.3.8","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Logging: Log dropped packets' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
"9.3.9","Enterprise  - Firewall Non Policy Settings","Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes' (Automated)","Registry","1","NOT FOUND","MISSING","Key/value not present"
